participant,3.1,3.2,4,5.1,5.2,5.3,6.1,6.2,7,8.1,8.2,9,10.1,10.2,11,12.1,12.2,13.1,13.2,14.1,14.2,15,16.1,16.2,17,18.1,18.2,19.1,19.2,19..3,20
Dino,IN,IMM,PT,IN,LOW,IN,IN,IMM,NPT,IN,IMM,PT,IN,WIN,WIN,IN,IMM,IN,IMM,IN,WIN,PT,WIN,IMM,WIN,IN,IN,IN,IN,WIN,WINNER
Eboni,IN,IMM,WIN,IN,IN,IMM,LOW,IN,WIN,IN,IN,PT,IN,IN,WIN,LOW,IN,WIN,IMM,IN,IN,WIN,IN,WIN,PT,HIGH,IN,IN,WIN,IMM,RUNNER-UP
Jason,IN,IMM,WIN,WIN,IMM,IMM,IN,IMM,NPT,IN,LOW,WIN,IN,IN,WIN,IN,IMM,IN,IMM,WIN,IMM,WIN,HIGH,WIN,WIN,IN,IN,WIN,IMM,IMM,RUNNER-UP
Cate,IN,IMM,WIN,IN,IN,IMM,WIN,IMM,WIN,IN,WIN,WIN,WIN,IMM,WIN,IN,IMM,WIN,IMM,HIGH,WIN,WIN,IN,IN,PT,WIN,IMM,IN,IN,ELIM,
Jeff,IN,IMM,NPT,HIGH,LOW,IN,IN,IMM,NPT,HIGH,IN,LOW,IN,LOW,NPT,LOW,IN,IN,IMM,IN,LOW,LOW,HIGH,IN,PT,IN,ELIM,,,,
Yachecia,HIGH,IMM,WIN,IN,LOW,IN,WIN,IMM,PT,IN,WIN,NPT,HIGH,IN,PT,IN,IMM,LOW,IMM,IN,IN,LOW,IN,LOW,WIN,HIGH,ELIM,,,,
Gabriel,IN,IMM,PT,IN,IN,IMM,IN,IMM,WIN,IN,LOW,WIN,IN,IN,NPT,LOW,IN,LOW,IMM,HIGH,IN,WIN,IN,ELIM,,,,,,,
Daniel,IN,IMM,NPT,IN,IN,IMM,IN,IMM,WIN,IN,IMM,WIN,IN,WIN,NPT,IN,IMM,IN,IMM,IN,IN,ELIM,,,,,,,,,
Caitlin,IN,IMM,PT,IN,LOW,IN,LOW,IN,NPT,IN,IMM,WIN,HIGH,LOW,NPT,LOW,IN,LOW,PT,IN,ELIM,,,,,,,,,,
Adam,IN,IMM,WIN,IN,IN,IMM,IN,IMM,WIN,IN,IMM,LOW,IN,IN,WIN,LOW,LOW,LOW,ELIM,,,,,,,,,,,,
Jenny,IN,IMM,PT,IN,IN,IMM,LOW,IN,NPT,IN,IMM,WIN,IN,IN,WIN,LOW,ELIM,,,,,,,,,,,,,,
Newton,IN,IMM,WIN,IN,IN,IMM,LOW,LOW,WIN,WIN,IMM,PT,IN,LOW,ELIM,,,,,,,,,,,,,,,,
Reba,IN,IMM,NPT,IN,IN,IMM,IN,IMM,NPT,IN,IMM,WIN,IN,ELIM,,,,,,,,,,,,,,,,,
Brien,WIN,IMM,WIN,IN,IN,IMM,IN,IMM,WIN,HIGH,IMM,ELIM,,,,,,,,,,,,,,,,,,,
Necco,IN,IMM,WIN,HIGH,IN,IMM,IN,IMM,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,
Jennifer,HIGH,IMM,LOW,IN,IN,IMM,LOW,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,
Sam,LOW,IN,WIN,IN,LOW,LOW,LOW,ELIM,,,,,,,,,,,,,,,,,,,,,,,
Heather,LOW,IN,WIN,IN,LOW,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,
Paige,IN,IMM,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,LOW,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
